date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-03-02,120.739998,121.900002,120.260002,120.330002,120.330002,4524300.0,4524300.0,-0.41,-0.34,120.83,"March 02, 21",-0.0034,IBM,Technology
2021-03-01,120.349998,122.32,119.860001,120.739998,120.739998,5714500.0,5714500.0,0.39,0.324,120.97333,"March 01, 21",0.00324,IBM,Technology
2021-02-26,122.25,122.25,118.879997,118.93,118.93,9044900.0,9044900.0,-3.32,-2.716,120.02,"February 26, 21",-0.02716,IBM,Technology
2021-02-25,123.370003,124.349998,122.339996,122.470001,122.470001,5691800.0,5691800.0,-0.9,-0.73,123.05333,"February 25, 21",-0.0073,IBM,Technology
2021-02-24,120.800003,123.489998,120.519997,123.209999,123.209999,5820000.0,5820000.0,2.41,1.995,122.40666,"February 24, 21",0.01995,IBM,Technology
2021-02-23,120.919998,121.349998,119.800003,120.709999,120.709999,4531300.0,4531300.0,-0.21,-0.174,120.62,"February 23, 21",-0.00174,IBM,Technology
2021-02-22,118.5,121.129997,118.440002,120.860001,120.860001,5879200.0,5879200.0,2.36,1.992,120.14333,"February 22, 21",0.01992,IBM,Technology
2021-02-19,120.75,120.760002,118.379997,118.989998,118.989998,6578700.0,6578700.0,-1.76,-1.458,119.37667,"February 19, 21",-0.01458,IBM,Technology
2021-02-18,120.5,120.940002,119.699997,120.730003,120.730003,5398100.0,5398100.0,0.23,0.191,120.45667,"February 18, 21",0.00191,IBM,Technology
2021-02-17,119.269997,120.559998,119.019997,119.970001,119.970001,3959100.0,3959100.0,0.7,0.587,119.85,"February 17, 21",0.00587,IBM,Technology
2021-02-16,120.150002,120.599998,119.360001,120.07,120.07,6639800.0,6639800.0,-0.08,-0.067,120.01,"February 16, 21",-0.00067,IBM,Technology
2021-02-12,121.0,121.360001,120.089996,120.800003,120.800003,3868900.0,3868900.0,-0.2,-0.165,120.75,"February 12, 21",-0.00165,IBM,Technology
2021-02-11,122.0,122.209999,120.629997,120.910004,120.910004,5380600.0,5380600.0,-1.09,-0.893,121.25,"February 11, 21",-0.00893,IBM,Technology
2021-02-10,123.029999,123.410004,121.209999,122.239998,122.239998,4866800.0,4866800.0,-0.79,-0.642,122.28667,"February 10, 21",-0.00642,IBM,Technology
2021-02-09,121.900002,122.599998,121.050003,122.099998,122.099998,4717000.0,4717000.0,0.2,0.164,121.91667,"February 09, 21",0.00164,IBM,Technology
2021-02-08,122.620003,123.980003,122.400002,123.610001,121.980003,5888000.0,5888000.0,0.99,0.807,123.33,"February 08, 21",0.00807,IBM,Technology
